type_bin	size_bin	wpi_country_from	wpi_country_to	GroupCount	mean_sog	mean_voyage_time	total_co2_million_tonnes	domestic_fl	trade_type	sids_fl	ldc_fl	year
1	5	'Australia'	'Singapore'	75	11.92490999	22.30611111	0.2196721	0	1	0	0	2012
4	5	'Hong Kong S.A.R.'	'China'	551	12.91156767	1.886872353	0.218698947	0	4	0	0	2012
4	4	'Panama'	'South Korea'	40	17.46515344	23.20208333	0.21863523	0	2	0	1	2012
7	6	'United States of America'	'Venezuela'	256	11.14241264	8.914713542	0.218272083	0	3	1	1	2012
4	5	'Egypt'	'Malaysia'	62	16.2071493	14.1969086	0.218113866	0	3	1	1	2012
1	6	'China'	'Singapore'	188	11.53196471	9.528812057	0.217733514	0	4	1	0	2012
1	4	'India'	'Brazil'	156	12.01675299	30.34909188	0.21773263	0	3	1	0	2012
1	5	'China'	'Brazil'	77	11.45740062	40.98593074	0.21767246	0	2	1	0	2012
1	4	'Singapore'	'India'	412	11.7847705	7.811286408	0.21755468	0	4	1	1	2012
1	2	'United States of America'	'United States of America'	2036	8.59302123	2.969773248	0.217483674	1	2	1	1	2012
4	4	'Germany'	'United States of America'	97	16.90596611	10.04467354	0.217273216	0	1	0	0	2012
4	6	'Egypt'	'United States of America'	32	17.48166128	17.65364583	0.216869285	0	3	1	0	2012
4	4	'South Africa'	'Singapore'	75	15.7148561	15.34888889	0.214590344	0	3	1	1	2012
1	3	'India'	'Indonesia'	261	11.17488347	12.34371009	0.21454551	0	1	1	0	2012
4	5	'Egypt'	'Sri Lanka'	59	17.23394986	11.64194915	0.214481641	0	2	0	0	2012
1	4	'India'	'South Africa'	190	11.92648775	15.6872807	0.213012498	0	2	0	1	2012
4	6	'Hong Kong S.A.R.'	'United States of America'	36	17.85322056	15.14583333	0.21169577	0	2	1	0	2012
4	3	'Australia'	'Australia'	529	14.15334101	2.718730309	0.211198769	1	4	1	0	2012
1	4	'United States of America'	'United States of America'	919	8.281763449	4.069595575	0.210607668	1	1	0	0	2012
1	5	'Peru'	'China'	47	11.59918622	37.92464539	0.209759015	0	1	0	0	2012
4	4	'Mexico'	'China'	64	16.35294248	18.93229167	0.20974669	0	1	0	1	2012
